Timestamp,Trans_x,Trans_y,Trans_z,Quaternion_w,Quaternion_x,Quaternion_y,Quaternion_z
0,220.060715,163.067978,9.940777,0.264895,0.264895,-0.655615,-0.655615
33,220.061905,163.067017,9.940777,0.264916,0.264916,-0.655606,-0.655606
66,220.065475,163.064133,9.940777,0.264981,0.264981,-0.655580,-0.655580
100,220.071396,163.059341,9.940777,0.265088,0.265088,-0.655537,-0.655537
133,220.079697,163.052567,9.940777,0.265239,0.265239,-0.655476,-0.655476
166,220.090347,163.043930,9.940777,0.265432,0.265432,-0.655397,-0.655397
200,220.103348,163.033356,9.940777,0.265668,0.265668,-0.655302,-0.655302
233,220.118759,163.020889,9.940777,0.265947,0.265947,-0.655189,-0.655189
266,220.136459,163.006485,9.940777,0.266269,0.266269,-0.655058,-0.655058
300,220.156540,162.990173,9.940777,0.266633,0.266633,-0.654910,-0.654910
333,220.179001,162.971970,9.940777,0.267039,0.267040,-0.654744,-0.654744
366,220.203720,162.951859,9.940777,0.267488,0.267489,-0.654561,-0.654561
400,220.230881,162.929855,9.940777,0.267980,0.267980,-0.654360,-0.654360
433,220.260330,162.905899,9.940777,0.268513,0.268513,-0.654141,-0.654141
466,220.292099,162.880112,9.940777,0.269089,0.269089,-0.653905,-0.653905
500,220.326248,162.852402,9.940777,0.269706,0.269706,-0.653650,-0.653650
533,220.362717,162.822800,9.940777,0.270366,0.270366,-0.653378,-0.653378
566,220.401505,162.791306,9.940777,0.271067,0.271067,-0.653087,-0.653087
600,220.442612,162.757950,9.940777,0.271810,0.271810,-0.652778,-0.652778
633,220.486008,162.722672,9.940777,0.272595,0.272595,-0.652451,-0.652451
666,220.531754,162.685532,9.940777,0.273421,0.273421,-0.652105,-0.652105
700,220.579849,162.646515,9.940777,0.274288,0.274288,-0.651741,-0.651741
733,220.630234,162.605606,9.940777,0.275197,0.275197,-0.651358,-0.651358
766,220.682907,162.562820,9.940777,0.276146,0.276146,-0.650956,-0.650956
800,220.737900,162.518188,9.940777,0.277137,0.277137,-0.650535,-0.650534
833,220.795212,162.471664,9.940777,0.278168,0.278168,-0.650094,-0.650094
866,220.854813,162.423264,9.940777,0.279241,0.279241,-0.649634,-0.649634
900,220.916702,162.373016,9.940777,0.280353,0.280353,-0.649155,-0.649155
933,220.980881,162.320892,9.940777,0.281506,0.281506,-0.648656,-0.648656
966,221.047379,162.266937,9.940777,0.282699,0.282699,-0.648137,-0.648137
1000,221.116135,162.211075,9.940777,0.283933,0.283933,-0.647597,-0.647597
1033,221.187210,162.153397,9.940777,0.285206,0.285206,-0.647038,-0.647038
1066,221.260544,162.093842,9.940777,0.286519,0.286519,-0.646457,-0.646457
1100,221.336197,162.032471,9.940777,0.287872,0.287872,-0.645856,-0.645856
1133,221.414078,161.969223,9.940777,0.289264,0.289264,-0.645234,-0.645234
1166,221.494247,161.904114,9.940777,0.290695,0.290695,-0.644590,-0.644590
1200,221.576706,161.837204,9.940777,0.292165,0.292165,-0.643925,-0.643925
1233,221.661423,161.768417,9.940777,0.293674,0.293674,-0.643238,-0.643238
1266,221.748398,161.697784,9.940777,0.295222,0.295222,-0.642529,-0.642529
1300,221.837631,161.625351,9.940777,0.296809,0.296809,-0.641798,-0.641798
