Timestamp,Trans_x,Trans_y,Trans_z,Quaternion_w,Quaternion_x,Quaternion_y,Quaternion_z
0,220.058029,-9.951686,163.073563,0.362198,0.010151,0.932027,0.005937
33,220.072556,-9.929699,163.061554,0.371103,0.001266,0.928576,0.005243
66,220.065216,-9.938346,163.080933,0.374315,0.010570,0.927179,-0.010752
100,220.071854,-9.939260,163.057541,0.364184,-0.003787,0.931319,-0.000272
133,220.081497,-9.952619,163.061172,0.378117,-0.019055,0.925538,0.006646
166,220.078339,-9.919314,163.055222,0.376434,0.002198,0.926438,0.002314
200,220.119675,-9.952631,163.032135,0.381264,-0.004051,0.924353,-0.013914
233,220.126892,-9.923647,163.009857,0.374841,0.008776,0.927040,-0.003758
266,220.139954,-9.952867,162.998291,0.381512,0.016410,0.924193,-0.006831
300,220.152328,-9.938420,162.978546,0.375210,0.002107,0.926935,-0.002195
333,220.183792,-9.961012,162.965851,0.378534,-0.007048,0.925434,-0.015298
366,220.196075,-9.958351,162.946320,0.366451,0.008864,0.930376,0.005958
400,220.242905,-9.930889,162.913559,0.387810,-0.013577,0.921625,0.005125
433,220.272308,-9.950711,162.898529,0.384132,0.004372,0.923230,0.008315
466,220.278580,-9.937603,162.884003,0.385015,-0.021679,0.922607,0.009479
500,220.298187,-9.952038,162.853546,0.372880,-0.006148,0.927856,-0.002441
533,220.369766,-9.946275,162.820694,0.378471,0.004312,0.925592,-0.004632
566,220.410309,-9.944440,162.785416,0.379467,-0.013516,0.925026,-0.012216
600,220.436890,-9.943550,162.757507,0.402573,0.011818,0.915305,0.003404
633,220.500473,-9.943862,162.737991,0.380760,-0.004241,0.924663,0.001410
666,220.536850,-9.929073,162.687302,0.374623,0.001727,0.927115,0.010589
700,220.574249,-9.943612,162.646027,0.391472,0.005598,0.920173,0.000906
733,220.620163,-9.948680,162.617325,0.391859,0.003071,0.919953,-0.011116
766,220.685394,-9.942453,162.562576,0.415811,0.000919,0.909336,-0.014452
800,220.737091,-9.944076,162.520447,0.387627,0.000003,0.921807,0.004203
833,220.816727,-9.937916,162.457291,0.379494,0.004352,0.925183,-0.000909
866,220.842117,-9.947176,162.417389,0.387053,-0.000884,0.922028,-0.007402
900,220.931854,-9.940201,162.381195,0.398214,-0.002032,0.917215,-0.011778
933,220.974960,-9.931832,162.328186,0.378050,0.010160,0.925728,-0.001668
966,221.054321,-9.956514,162.253845,0.407359,0.004392,0.913241,0.005440
1000,221.125031,-9.932680,162.206543,0.399539,0.011941,0.916636,0.002240
1033,221.176407,-9.934633,162.144531,0.404231,-0.001340,0.914656,0.000826
1066,221.247070,-9.933031,162.117279,0.414336,-0.006732,0.910067,-0.007684
1100,221.334534,-9.948247,162.034134,0.414352,0.004937,0.910007,-0.013225
1133,221.412827,-9.955813,161.965622,0.407750,0.016569,0.912931,-0.004738
1166,221.474319,-9.949948,161.906677,0.411368,0.002768,0.911416,0.009478
1200,221.571442,-9.938980,161.845123,0.403488,0.010525,0.914903,-0.006243
1233,221.671814,-9.960113,161.754013,0.417209,-0.001934,0.908808,0.000780
1266,221.742188,-9.933208,161.695236,0.413127,-0.006189,0.910611,-0.008742
1300,221.844437,-9.939585,161.621597,0.430220,-0.005542,0.902564,-0.016063
1333,221.916000,-9.926427,161.545578,0.432527,0.017597,0.901282,0.017377
1366,222.030441,-9.940248,161.477371,0.422671,0.022745,0.905994,-0.002753
1400,222.122650,-9.945483,161.399979,0.428666,0.001835,0.903433,0.007181
1433,222.199310,-9.944007,161.314972,0.425976,-0.008416,0.904644,0.009617
1466,222.319565,-9.947145,161.230972,0.436699,0.004105,0.899598,0.000030
1500,222.419418,-9.940950,161.167801,0.432792,-0.004317,0.901358,0.015020
1533,222.522842,-9.944422,161.061401,0.429156,-0.000756,0.903194,0.008115
1566,222.635406,-9.936452,160.966888,0.454449,0.000415,0.890773,0.000484
1600,222.734482,-9.947943,160.898926,0.443351,-0.012137,0.896264,-0.001940
1633,222.869003,-9.950848,160.786774,0.437458,-0.014709,0.899060,-0.010277
1666,222.977951,-9.957105,160.704559,0.442440,0.006228,0.896739,-0.008234
1700,223.078751,-9.928510,160.607651,0.457427,-0.004768,0.889230,0.002841
1733,223.196152,-9.939078,160.520004,0.457792,0.005351,0.889037,0.003418
1766,223.325836,-9.933127,160.411285,0.454813,0.006524,0.890563,-0.000169
1800,223.449249,-9.939469,160.322357,0.466160,-0.013904,0.884583,0.003895
1833,223.581284,-9.937595,160.220581,0.464104,0.001433,0.885779,-0.001032
1866,223.699524,-9.939146,160.147766,0.453339,0.008563,0.891278,-0.005856
1900,223.835129,-9.943739,160.038834,0.460040,0.019749,0.887561,0.014431
1933,223.989166,-9.947630,159.945908,0.463453,0.009950,0.885973,0.012789
1966,224.152435,-9.950211,159.860275,0.472471,-0.001146,0.881345,0.000050
2000,224.300980,-9.954314,159.760849,0.475990,-0.017947,0.879259,-0.003784
2033,224.426590,-9.928282,159.661270,0.459513,0.012035,0.888030,0.010294
2066,224.578400,-9.943046,159.566650,0.471328,-0.002622,0.881928,-0.006774
2100,224.721542,-9.932859,159.456467,0.478154,-0.013479,0.878138,-0.007876
2133,224.900879,-9.933823,159.345963,0.451253,-0.003265,0.892244,0.016175
2166,225.047180,-9.937212,159.236847,0.471243,0.019273,0.881727,-0.010802
2200,225.202301,-9.944749,159.128555,0.470603,-0.003946,0.882299,0.008086
2233,225.379532,-9.931510,159.009903,0.455100,0.011881,0.890260,-0.013372
2266,225.537521,-9.941318,158.931839,0.487479,0.010609,0.873056,-0.004929
2300,225.703186,-9.939109,158.783081,0.468177,-0.000110,0.883554,0.011923
2333,225.865845,-9.936028,158.700684,0.464549,-0.000172,0.885546,-0.001912
2366,226.044495,-9.933929,158.587814,0.496308,-0.009864,0.868075,0.005241
2400,226.214584,-9.940179,158.461456,0.475606,0.004706,0.879644,-0.001737
2433,226.378235,-9.939531,158.328659,0.458942,-0.009714,0.888395,-0.005663
2466,226.552261,-9.950829,158.219696,0.475821,-0.003730,0.879534,-0.001268
2500,226.764923,-9.939149,158.099380,0.474794,-0.002321,0.880094,-0.000566
2533,226.917847,-9.942777,157.990799,0.472602,-0.007526,0.881206,0.008168
2566,227.122894,-9.937635,157.875641,0.475142,-0.000143,0.879824,0.012204
2600,227.320602,-9.918193,157.726761,0.485330,0.002179,0.874288,-0.008470
2633,227.496582,-9.927444,157.595108,0.489315,-0.009157,0.872049,-0.004224
2666,227.695389,-9.941659,157.463898,0.479130,0.003377,0.877684,0.009689
2700,227.863159,-9.947040,157.348572,0.456724,-0.006439,0.889572,-0.004934
2733,228.093216,-9.937504,157.201569,0.463359,0.006922,0.886100,-0.008781
2766,228.285019,-9.949672,157.077377,0.474158,-0.008370,0.880383,0.005468
2800,228.482498,-9.927248,156.933945,0.474181,0.009478,0.880336,0.008412
2833,228.688354,-9.943712,156.792419,0.482414,-0.011438,0.875866,-0.002278
2866,228.889771,-9.933345,156.648651,0.476876,-0.012004,0.878869,-0.005911
2900,229.086670,-9.949793,156.512604,0.473006,-0.014022,0.880898,0.009370
2933,229.296890,-9.943356,156.393051,0.470276,0.007090,0.882491,-0.000218
